"","X.","path_length_microns","date","cell","condition","timepoint"
"104","Path (11) [L:11.354µm]",11.35391052,"plated_03-06-23","WT","wt_007","1"
"105","Path (12) [L:1.554µm]",1.554247233,"plated_03-06-23","WT","wt_007","1"
"106","Path (13) [L:3.830µm]",3.830389608,"plated_03-06-23","WT","wt_007","1"
"107","Path (14) [L:2.874µm]",2.874179891,"plated_03-06-23","WT","wt_007","1"
"108","Path (15) [L:3.964µm]",3.963722942,"plated_03-06-23","WT","wt_007","1"
"109","Path (16) [L:23.251µm]",23.25063009,"plated_03-06-23","WT","wt_007","1"
"110","Path (17) [L:5.973µm]",5.97319865,"plated_03-06-23","WT","wt_007","1"
"111","Path (18) [L:9.592µm]",9.592150066,"plated_03-06-23","WT","wt_007","1"
"112","Path (19) [L:4.851µm]",4.851303508,"plated_03-06-23","WT","wt_007","1"
"113","Path (20) [L:3.853µm]",3.853265992,"plated_03-06-23","WT","wt_007","1"
"114","Root centroid [L:0.000µm]",0,"plated_03-06-23","WT","wt_007","1"
"115","Root centroid [L:0.000µm]",0,"plated_03-06-23","WT","wt_008","1"
"116","Path (1) [L:47.678µm]",47.6783838,"plated_03-06-23","WT","wt_008","1"
"117","Path (2) [L:25.003µm]",25.00291484,"plated_03-06-23","WT","wt_008","1"
"118","Path (3) [L:22.946µm]",22.94606059,"plated_03-06-23","WT","wt_008","1"
"119","Path (4) [L:7.592µm]",7.592150066,"plated_03-06-23","WT","wt_008","1"
"120","Path (5) [L:5.118µm]",5.117970175,"plated_03-06-23","WT","wt_008","1"
"121","Root centroid [L:0.000µm]",0,"plated_03-06-23","WT","wt_008","1"
"122","Root centroid [L:0.000µm]",0,"plated_03-06-23","WT","wt_009","1"
"123","Path (1) [L:24.942µm]",24.94213562,"plated_03-06-23","WT","wt_009","1"
"124","Path (2) [L:10.636µm]",10.63594035,"plated_03-06-23","WT","wt_009","1"
"125","Path (3) [L:18.592µm]",18.59181336,"plated_03-06-23","WT","wt_009","1"
