"","Path length (µm) [Min]","Path length (µm) [Max]","Path length (µm) [Mean]","Path length (µm) [SD]","Path length (µm) [Sum]","Path length (µm) [N]","Path length (µm)","date","cell","condition","timepoint"
"108",NA,NA,NA,NA,NA,NA,"3.963722942","plated_03-06-23","wt_007","WT","1"
"109",NA,NA,NA,NA,NA,NA,"23.25063009","plated_03-06-23","wt_007","WT","1"
"110",NA,NA,NA,NA,NA,NA,"5.97319865","plated_03-06-23","wt_007","WT","1"
"111",NA,NA,NA,NA,NA,NA,"9.592150066","plated_03-06-23","wt_007","WT","1"
"112",NA,NA,NA,NA,NA,NA,"4.851303508","plated_03-06-23","wt_007","WT","1"
"113",NA,NA,NA,NA,NA,NA,"3.853265992","plated_03-06-23","wt_007","WT","1"
"114",NA,NA,NA,NA,NA,NA,"0","plated_03-06-23","wt_007","WT","1"
"115",NA,NA,NA,NA,NA,NA,"0","plated_03-06-23","wt_008","WT","1"
"116",NA,NA,NA,NA,NA,NA,"47.6783838","plated_03-06-23","wt_008","WT","1"
"117",NA,NA,NA,NA,NA,NA,"25.00291484","plated_03-06-23","wt_008","WT","1"
"118",NA,NA,NA,NA,NA,NA,"22.94606059","plated_03-06-23","wt_008","WT","1"
"119",NA,NA,NA,NA,NA,NA,"7.592150066","plated_03-06-23","wt_008","WT","1"
"120",NA,NA,NA,NA,NA,NA,"5.117970175","plated_03-06-23","wt_008","WT","1"
"121",NA,NA,NA,NA,NA,NA,"0","plated_03-06-23","wt_008","WT","1"
"122",NA,NA,NA,NA,NA,NA,"0","plated_03-06-23","wt_009","WT","1"
"123",NA,NA,NA,NA,NA,NA,"24.94213562","plated_03-06-23","wt_009","WT","1"
"124",NA,NA,NA,NA,NA,NA,"10.63594035","plated_03-06-23","wt_009","WT","1"
"125",NA,NA,NA,NA,NA,NA,"18.59181336","plated_03-06-23","wt_009","WT","1"
"126",NA,NA,NA,NA,NA,NA,"17.25455506","plated_03-06-23","wt_009","WT","1"
"127",NA,NA,NA,NA,NA,NA,"19.66632996","plated_03-06-23","wt_009","WT","1"
"128",NA,NA,NA,NA,NA,NA,"16.32907166","plated_03-06-23","wt_009","WT","1"
"129",NA,NA,NA,NA,NA,NA,"6.451303508","plated_03-06-23","wt_009","WT","1"
"130",NA,NA,NA,NA,NA,NA,"14.87025492","plated_03-06-23","wt_009","WT","1"
"131",NA,NA,NA,NA,NA,NA,"4.538884075","plated_03-06-23","wt_009","WT","1"
"132",NA,NA,NA,NA,NA,NA,"0","plated_03-06-23","wt_009","WT","1"
"133",NA,NA,NA,NA,NA,NA,"0","plated_03-06-23","wt_010","WT","1"
"134",NA,NA,NA,NA,NA,NA,"30.58003846","plated_03-06-23","wt_010","WT","1"
"135",NA,NA,NA,NA,NA,NA,"3.030389608","plated_03-06-23","wt_010","WT","1"
"136",NA,NA,NA,NA,NA,NA,"4.529408366","plated_03-06-23","wt_010","WT","1"
"137",NA,NA,NA,NA,NA,NA,"1.963722942","plated_03-06-23","wt_010","WT","1"
"138",NA,NA,NA,NA,NA,NA,"1.798037517","plated_03-06-23","wt_010","WT","1"
"139",NA,NA,NA,NA,NA,NA,"3.508494467","plated_03-06-23","wt_010","WT","1"
"140",NA,NA,NA,NA,NA,NA,"1.798037517","plated_03-06-23","wt_010","WT","1"
"141",NA,NA,NA,NA,NA,NA,"3.085618083","plated_03-06-23","wt_010","WT","1"
"142",NA,NA,NA,NA,NA,NA,"5.481693116","plated_03-06-23","wt_010","WT","1"
"143",NA,NA,NA,NA,NA,NA,"2.243790283","plated_03-06-23","wt_010","WT","1"
"144",NA,NA,NA,NA,NA,NA,"1.342809042","plated_03-06-23","wt_010","WT","1"
"145",NA,NA,NA,NA,NA,NA,"0.699018758","plated_03-06-23","wt_010","WT","1"
"146",NA,NA,NA,NA,NA,NA,"0","plated_03-06-23","wt_010","WT","1"
